title,link,published,description,category,article_id
The social media lifeline amid soaring food costs,https://www.bbc.co.uk/news/business-62034982?at_medium=RSS&at_campaign=KARANGA,"Thu, 14 Jul 2022 23:12:11 GMT",Charities are using Google Maps and other social media to alert people to food clubs and community shops.,technology,112
Can the right smell make you more productive?,https://www.bbc.co.uk/news/business-61708789?at_medium=RSS&at_campaign=KARANGA,"Mon, 11 Jul 2022 23:13:34 GMT",With more people working from home there's growing interest in making the home smell better.,technology,113
How science is making chocolate taste even better,https://www.bbc.co.uk/news/business-61511456?at_medium=RSS&at_campaign=KARANGA,"Thu, 07 Jul 2022 23:30:50 GMT",Cocoa beans go through a fermentation process that scientists say can be more precisely controlled.,technology,114
Australia's devastating floods spur new warning systems,https://www.bbc.co.uk/news/business-61717600?at_medium=RSS&at_campaign=KARANGA,"Mon, 04 Jul 2022 23:06:59 GMT",Better data and real-time software is allowing companies to improve the precision of flood warnings.,technology,115
How flowers are 'put to sleep' for long sea voyages,https://www.bbc.co.uk/news/business-61877762?at_medium=RSS&at_campaign=KARANGA,"Thu, 30 Jun 2022 23:01:04 GMT",Kenya's flower exporters are switching to sea freight as new tech helps keep flowers fresh at sea.,technology,116
What parents need to know to keep their kids safe online,https://www.bbc.co.uk/news/business-61577187?at_medium=RSS&at_campaign=KARANGA,"Mon, 27 Jun 2022 23:18:06 GMT",Teachers urgently want parents to understand the tech which could help to keep kids safer online.,technology,117
Will electric motorbike sales take off across Asia?,https://www.bbc.co.uk/news/business-61907734?at_medium=RSS&at_campaign=KARANGA,"Sun, 26 Jun 2022 23:03:17 GMT",Soaring petrol prices could speed up the transition to electric much faster than expected.,technology,118
The staff shortage slowing down air cargo and bags,https://www.bbc.co.uk/news/business-61808753?at_medium=RSS&at_campaign=KARANGA,"Thu, 23 Jun 2022 23:05:29 GMT",A lack of skilled cargo handlers is now hampering the booming air freight business too.,technology,119
Could nuclear desalination plants beat water scarcity?,https://www.bbc.co.uk/news/business-61483491?at_medium=RSS&at_campaign=KARANGA,"Mon, 20 Jun 2022 23:16:31 GMT","Engineers are developing mobile, floating nuclear desalination plants to help solve water shortages.",technology,120
Could flat tyres soon be a thing of the past?,https://www.bbc.co.uk/news/business-61644033?at_medium=RSS&at_campaign=KARANGA,"Mon, 13 Jun 2022 23:18:58 GMT",Airless tyres that do not puncture are getting close to market but some remain sceptical about them.,technology,121
Is it the end for the lush lawns of Los Angeles?,https://www.bbc.co.uk/news/business-61731503?at_medium=RSS&at_campaign=KARANGA,"Thu, 09 Jun 2022 23:08:01 GMT",Tougher rules on watering gardens mean residents will have to consider alternatives to green grass.,technology,122
India's loan scams leave victims scared for their lives,https://www.bbc.co.uk/news/business-61564038?at_medium=RSS&at_campaign=KARANGA,"Mon, 06 Jun 2022 23:06:33 GMT",Bogus apps are being used by hackers to access mobile phone data to threaten and blackmail victims.,technology,123
How artificial intelligence 'blew up' tennis,https://www.bbc.co.uk/news/business-61609689?at_medium=RSS&at_campaign=KARANGA,"Mon, 30 May 2022 23:05:16 GMT",Coaches now have powerful tools which can find patterns in play that humans would struggle to see.,technology,124
The new airlines betting flying is about to take off,https://www.bbc.co.uk/news/business-61575429?at_medium=RSS&at_campaign=KARANGA,"Sun, 29 May 2022 23:10:38 GMT",Many carriers went out of business during Covid but several seized a golden opportunity to launch.,technology,125
Soaring fertiliser prices force farmers to rethink,https://www.bbc.co.uk/news/business-61385111?at_medium=RSS&at_campaign=KARANGA,"Thu, 26 May 2022 23:06:44 GMT",Research into replacements for nitrogen-based fertilisers has been spurred by high prices and climate concerns.,technology,126
Could hydrogen ease Germany's reliance on Russian gas?,https://www.bbc.co.uk/news/business-61406077?at_medium=RSS&at_campaign=KARANGA,"Tue, 24 May 2022 10:45:43 GMT",Why hydrogen might be one route for Germany to move away from dependence on Russian imports.,technology,127
Could contact lenses be the ultimate computer screen?,https://www.bbc.co.uk/news/business-61318460?at_medium=RSS&at_campaign=KARANGA,"Thu, 19 May 2022 23:03:29 GMT",Firms are developing smart contact lenses that can project data in front of the user's eye.,technology,128
The art of cutting carbon - how new technologies can help,https://www.bbc.co.uk/news/science-environment-62265992?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 23:09:05 GMT",With the 'de-printer' specially coated sheets of paper can be used 10 times over.,science_and_environment,129
Bird poo pollution posters at Scottish beaches challenged by experts,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-62305289?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 05:32:54 GMT",Signs at Scottish beaches suggest feeding the seagulls can contribute to water pollution.,science_and_environment,130
Covid origin studies say evidence points to Wuhan market,https://www.bbc.co.uk/news/science-environment-62307383?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 15:32:23 GMT",One of the researchers said he hoped the studies would correct the false theory that it came from a lab.,science_and_environment,131
Climate change: UK cities warned of wildfire risk,https://www.bbc.co.uk/news/science-environment-62253581?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 03:15:09 GMT",Fire chiefs in rural areas say lessons they learned in hot dry summers must be urgently applied in cities.,science_and_environment,132
Satellite firms Eutelsat and OneWeb aim to combine operations,https://www.bbc.co.uk/news/science-environment-62306617?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:58:07 GMT",The French company is set to merge with the satellite firm pulled from bankruptcy by the UK government.,science_and_environment,133
The audacious PR plot that seeded doubt about climate change,https://www.bbc.co.uk/news/science-environment-62225696?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:23:52 GMT","Thirty years ago, a bold plan was hatched to persuade people that climate change was not a problem.",science_and_environment,134
Japan's police to take measures after wild monkey rampages,https://www.bbc.co.uk/news/world-asia-62292511?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 13:08:21 GMT","What started as attacks on women and children, now include the elderly and adult men, officials say.",science_and_environment,135
Countryside: Who really has access to the great outdoors?,https://www.bbc.co.uk/news/uk-wales-62053555?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 06:09:52 GMT",Not everyone has the opportunity to roam the countryside. Meet the people trying to change that.,science_and_environment,136
Huge jellyfish swarm surrounds boat in Israel,https://www.bbc.co.uk/news/world-middle-east-62274464?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:28:10 GMT",Aerial footage shows the swarm of jellyfish in the waters of Haifa Bay during the annual migration.,science_and_environment,137
Climate change: How to talk to a denier,https://www.bbc.co.uk/news/blogs-trending-61844299?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:14:38 GMT","Tips about how to engage with people who think climate change is a ""hoax"".",science_and_environment,138
Could hydrogen ease Germany's reliance on Russian gas?,https://www.bbc.co.uk/news/business-61406077?at_medium=RSS&at_campaign=KARANGA,"Tue, 24 May 2022 10:45:43 GMT",Why hydrogen might be one route for Germany to move away from dependence on Russian imports.,science_and_environment,139
Why is climate 'doomism' going viral – and who's fighting it?,https://www.bbc.co.uk/news/blogs-trending-61495035?at_medium=RSS&at_campaign=KARANGA,"Sun, 22 May 2022 23:16:59 GMT","Climate ""doomers"" believe it’s far too late to do anything about climate change - but they're wrong.",science_and_environment,140
"HSBC suspends banker over 'nut job' climate comments, say reports",https://www.bbc.co.uk/news/business-61519111?at_medium=RSS&at_campaign=KARANGA,"Mon, 23 May 2022 05:05:36 GMT",The banking giant has reportedly suspended its responsible investing leader Stuart Kirk.,science_and_environment,141
Climate change: 'Fifty-fifty chance' of breaching 1.5C warming limit,https://www.bbc.co.uk/news/science-environment-61383391?at_medium=RSS&at_campaign=KARANGA,"Mon, 09 May 2022 23:38:30 GMT",Scientists say there's now a strong chance that the world will warm by more than 1.5C by 2026.,science_and_environment,142
Climate change: Airlines miss all but one target - report,https://www.bbc.co.uk/news/science-environment-61384377?at_medium=RSS&at_campaign=KARANGA,"Mon, 09 May 2022 23:39:19 GMT",Campaigners say the aviation industry cannot be relied on to tackle their role in climate change.,science_and_environment,143
Russia to pull out of International Space Station,https://www.bbc.co.uk/news/world-europe-62308069?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 17:40:07 GMT","Moscow says it now wants to build its own station, ending more than 20 years of cooperation with the US.",science_and_environment,144
James Webb: Nasa space telescope delivers spectacular pictures,https://www.bbc.co.uk/news/science-environment-62140044?at_medium=RSS&at_campaign=KARANGA,"Tue, 12 Jul 2022 15:31:40 GMT","A ""stellar nursery"" and a ""cosmic dance"" are among James Webb's first batch of colour images.",science_and_environment,145
Neutron stars: New telescope detects dead suns colliding,https://www.bbc.co.uk/news/science-environment-61911047?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 15:42:22 GMT",Light from the crashes is only visible for a couple of nights.,science_and_environment,146
China launches second module for its space station Heavenly Palace,https://www.bbc.co.uk/news/world-asia-china-62282862?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 13:37:54 GMT",Tiangong or Heavenly Palace is scheduled to be operational by the end of 2022.,science_and_environment,147
Nicky Campbell: School abuse still haunts me,https://www.bbc.co.uk/news/uk-62308621?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 09:27:37 GMT",The presenter reveals for the first time that he was the victim of abuse at a Scottish private school.,entertainment_and_arts,148
"Gaming time has no link with levels of wellbeing, study finds",https://www.bbc.co.uk/news/technology-62293235?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 02:26:37 GMT","Researchers analysed the gaming habits of 39,000 players of big titles such as Animal Crossing.",entertainment_and_arts,149
EastEnders: Jaime Winstone to play young Peggy Mitchell in flashback episode,https://www.bbc.co.uk/news/entertainment-arts-62316028?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 08:37:19 GMT",Jaime Winstone will play a young version of the character as the show looks into the family's past.,entertainment_and_arts,150
Mercury Prize: All you need to know about this year's nominees,https://www.bbc.co.uk/news/entertainment-arts-62255561?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 14:13:46 GMT","The shortlist includes Harry Styles, Sam Fender, Little Simz, Wet Leg, Self Esteem and Nova Twins.",entertainment_and_arts,151
"Music industry as tough as it has always been, watchdog says",https://www.bbc.co.uk/news/technology-62305395?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:44:36 GMT",The Competition and Markets Authority releases its latest report into the impact of streaming.,entertainment_and_arts,152
Eurovision: Bucks Fizz star backs Cardiff to host 2023 event,https://www.bbc.co.uk/news/entertainment-arts-62301422?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 10:52:14 GMT","Former winner Cheryl Baker made the suggestion after another winner, Lulu, made a shout for Glasgow.",entertainment_and_arts,153
World's largest watercolour revealed after £50k conservation appeal,https://www.bbc.co.uk/news/uk-england-birmingham-62319019?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 11:42:59 GMT","The Star of Bethlehem is reglazed as part of a £50,000 conservation project by Birmingham Museums.",entertainment_and_arts,154
Marcus Rashford: Man Utd striker becomes guest editor of Beano,https://www.bbc.co.uk/news/uk-england-manchester-62317040?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:19:57 GMT","Footballer Marcus Rashford is calling on children to ""find their voices"" in the special-edition comic.",entertainment_and_arts,155
Comic-Con: Neil Gaiman's epic comic Sandman finally reaches the screen,https://www.bbc.co.uk/news/entertainment-arts-62287218?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 08:06:55 GMT",The story which follows a quest by Dream is one the most popular graphic novels of all time,entertainment_and_arts,156
"Marvel at Comic-Con: Wakanda Forever trailer unveiled, and more Avengers films",https://www.bbc.co.uk/news/entertainment-arts-62281395?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 04:09:32 GMT",The studio announced a bumper crop of superhero films at Comic-Con - including Wakanda Forever.,entertainment_and_arts,157
Latitude 2022 in pictures: Ed Sheeran joins Snow Patrol,https://www.bbc.co.uk/news/uk-england-suffolk-62290216?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 10:18:36 GMT","Music, art, comedy and a surprise guest appearance at the sun-drenched festival.",entertainment_and_arts,158
Comic-Con: Five things we learned,https://www.bbc.co.uk/news/entertainment-arts-62287568?at_medium=RSS&at_campaign=KARANGA,"Mon, 25 Jul 2022 00:03:51 GMT",Fans have been given an exclusive glimpse of footage from a host of new blockbusters.,entertainment_and_arts,159
Keanu Reeves' comic book makes history,https://www.bbc.co.uk/news/entertainment-arts-62279839?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:09:26 GMT",BRZRKR becomes the first comic book to feature in Comic-Con's prestigious Hall H.,entertainment_and_arts,160
House of the Dragon: What we know about the Games of Thrones spin-off,https://www.bbc.co.uk/news/entertainment-arts-62281353?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:48:26 GMT","The series is set 200 years before Game of Thrones - but the dragons, death and feuds are all there.",entertainment_and_arts,161
Hugh Grant does first Comic-Con with Dungeons & Dragons film,https://www.bbc.co.uk/news/entertainment-arts-62261807?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 07:34:05 GMT",The actor cracked risque jokes with the crowd during his first ever visit to the San Diego convention.,entertainment_and_arts,162
Girls Aloud race for late Sarah Harding in Hyde Park,https://www.bbc.co.uk/news/uk-england-london-62283989?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 17:57:21 GMT",Hundreds of people wore pink and ran around the London park in memory of Sarah Harding.,entertainment_and_arts,163
Latitude Festival: Frankie Boyle questions the existence of cancel culture,https://www.bbc.co.uk/news/entertainment-arts-62280755?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 19:33:30 GMT","People who claim to be silenced never seem to go away, the comedian observes at the Latitude Festival.",entertainment_and_arts,164
Latitude Festival: Lewis Capaldi says he's 'too lazy' for new album,https://www.bbc.co.uk/news/entertainment-arts-62274534?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 00:32:17 GMT","""I just want to say now, I have no new music,"" says the star as he headlines the Latitude Festival.",entertainment_and_arts,165
"Jamie T on his a six-year silence, oligarchs, and Kim Jong-Un",https://www.bbc.co.uk/news/entertainment-arts-62237468?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:20:30 GMT","After an absence of six years, indie hero Jamie T is back with a new album, and plenty to say.",entertainment_and_arts,166
Thirteen Lives: Thai cave rescue actor Tom Bateman relives diving fears,https://www.bbc.co.uk/news/entertainment-arts-62213778?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:12:29 GMT",Actor Tom Bateman recalls how he overcame his claustrophobia in Ron Howard's film Thirteen Lives.,entertainment_and_arts,167
Can The Great British Bake Off stage musical serve up a showstopper?,https://www.bbc.co.uk/news/entertainment-arts-62249643?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 08:22:03 GMT","The Great British Bake Off stage show opens, but will it replicate the TV hit's recipe for success?",entertainment_and_arts,168
Girls Aloud's Cheryl on grieving Sarah Harding: I've never felt so helpless,https://www.bbc.co.uk/news/entertainment-arts-62287527?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 22:54:07 GMT","Hundreds joined Nicola Roberts, Cheryl and Nadine Coyle in London's Hyde Park for memorial run.",entertainment_and_arts,169
Climate protesters dragged away after attempting glue stunt with Botticelli masterpiece,https://www.bbc.co.uk/news/world-europe-62282858?at_medium=RSS&at_campaign=KARANGA,"Sun, 24 Jul 2022 07:04:31 GMT",The incident follows a spate of action where environmental activists have targeted famous artworks.,entertainment_and_arts,170
Resin art social media trend prompts warnings,https://www.bbc.co.uk/news/entertainment-arts-62068541?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 23:01:40 GMT","Using epoxy resin to make art has exploded as an online trend, but experts are urging caution about its use.",entertainment_and_arts,171
Comic-Con returns in-person to San Diego after pandemic,https://www.bbc.co.uk/news/entertainment-arts-62229956?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 23:03:35 GMT","More than 100,000 fans are gathering in San Diego for Comic-Con.",entertainment_and_arts,172
Chris Pine and Hugh Grant star in the new Dungeons and Dragons movie,https://www.bbc.co.uk/news/entertainment-arts-62261590?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 04:10:57 GMT","Chris Pine explains film ""easter eggs"" to Dungeons and Dragons co-star Hugh Grant",entertainment_and_arts,173
The Great British Bake Off: First glimpse of new stage musical,https://www.bbc.co.uk/news/entertainment-arts-62263442?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 08:23:09 GMT",A new theatre musical based on the successful TV show could contain a different kind of showstopper.,entertainment_and_arts,174
Commonwealth Games: Dina Asher-Smith withdraws with 'light hamstring strain',https://www.bbc.co.uk/sport/commonwealth-games/62319470?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:26:50 GMT","England's Dina Asher-Smith withdraws from the Commonwealth Games with a ""light hamstring strain"".",sport,175
Euro 2022: England secure place in final with victory over Sweden - highlights,https://www.bbc.co.uk/sport/av/football/62314033?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 22:14:37 GMT",Watch highlights as England reach the final of Euro 2022 by thrashing Sweden 4-0 at Bramall Lane.,sport,176
Euro 2022: England in perfect position to land elusive trophy,https://www.bbc.co.uk/sport/football/62314083?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 22:59:07 GMT",England's 4-0 demolition of Sweden wipes out the curse of losing three successive semi-finals to reach Sunday's final at Wembley.,sport,177
Euro 2022: England players react to Alessia Russo's 'naughty' backheel against Sweden,https://www.bbc.co.uk/sport/av/football/62321426?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 12:25:25 GMT","Georgia Stanway, Ellen White and Lauren Hemp react to Alessia Russo's 'outrageous' backheel goal against Sweden in England's Euro 2022 semi-final against Sweden.",sport,178
Manchester United complete Lisandro Martinez signing from Ajax in £57m deal,https://www.bbc.co.uk/sport/football/62262148?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 12:25:49 GMT",Manchester United complete the signing of Argentina defender Lisandro Martinez from Ajax in a deal worth up to 67m euros (£57m).,sport,179
Commonwealth Games 2022: Adam Peaty puts rapper Mist through his paces in the gym,https://www.bbc.co.uk/sport/av/commonwealth-games/62254231?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 07:16:42 GMT",Adam Peaty puts Birmingham rapper Mist through his paces in the gym ahead of the 2022 Commonwealth Games.,sport,180
Commonwealth Games 2022: Weightlifter Emily Campbell on equality and out-squatting the boys,https://www.bbc.co.uk/sport/av/commonwealth-games/62151462?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 07:59:48 GMT",Weightlifter Emily Campbell talks about equality and out-squatting the boys on her journey into the sport.,sport,181
Euro 2022: Does Alessia Russo deserve to start Euro 2022 final? - Analysis,https://www.bbc.co.uk/sport/av/football/62314035?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 22:46:42 GMT","Former England players Ian Wright and Alex Scott debate whether ""super sub"" striker Alessia Russo should start the Euro 2022 final.",sport,182
Euro 2022: Watch all the angles of Alessia Russo cheeky backheel against Sweden,https://www.bbc.co.uk/sport/av/football/62314030?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 20:51:34 GMT",Watch all the angles as Alessia Russo scores a stunning backheel to put England 3-0 up against Sweden in their Euro 2022 semi-final at Bramall Lane.,sport,183
Euro 2022: 'She's done it again!' Beth Mead's 'flawless' finish puts England ahead,https://www.bbc.co.uk/sport/av/football/62313614?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 19:57:20 GMT","Watch Beth Mead's ""flawless"" finish as she opens the scoring for England against Sweden in their Euro 2022 semi-final at Bramall Lane.",sport,184
Euro 2022: Lucy Bronze doubles England's lead against Sweden,https://www.bbc.co.uk/sport/av/football/62313617?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 20:24:27 GMT",Watch defender Lucy Bronze double England's lead against Sweden in their Euro 2022 semi-final at Bramall Lane.,sport,185
Euro 2022: Mary Earps' 'sensational' save denies Sweden in first minute,https://www.bbc.co.uk/sport/av/football/62313609?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 19:24:23 GMT","Watch Mary Earps' ""'sensational"" save as the England keeper stops Sofia Jakobsson scoring for Sweden in the first minute of their Euro 2022 semi-final.",sport,186
Commonwealth Games 2022: Tom Dean and Kem Cetinay play Top Trunks,https://www.bbc.co.uk/sport/av/commonwealth-games/62280191?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 07:37:51 GMT",Double Olympic champion Tom Dean and TV personality Kem Cetinay play a game of Top Trunks.,sport,187
What are the Commonwealth Games?,https://www.bbc.co.uk/sport/av/commonwealth-games/62288969?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 05:52:33 GMT",Birmingham is preparing to host the Commonwealth Games. But what are they and why do they take place?,sport,188
